name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004
OperatingCashFlow,,"-50,837,000,000","-518,000,000","28,967,000,000","25,661,000,000","20,325,000,000","16,535,000,000","10,402,000,000","57,336,000,000","40,345,000,000","-2,698,000,000","31,993,000,000","30,074,000,000","13,077,000,000","15,366,000,000","-2,738,000,000","6,017,000,000"
	NetIncome,"7,537,000,000","8,173,000,000","7,526,000,000","7,759,000,000","7,702,000,000","6,694,000,000","157,000,000","4,832,000,000","6,553,000,000","6,050,000,000","7,843,000,000","5,832,000,000","3,021,000,000","7,822,000,000","7,308,000,000","5,852,000,000","4,668,000,000"
	DepreciationAndAmortization,,"6,108,000,000","5,144,000,000","4,550,000,000","4,444,000,000","3,764,000,000","3,442,000,000","3,490,000,000","3,663,000,000","3,788,000,000","3,739,000,000","3,534,000,000","3,074,000,000","2,685,000,000","2,542,000,000","2,240,000,000","1,940,000,000"
	ChangeInWorkingCapital,,"-73,710,000,000","-19,203,000,000","-281,000,000","4,116,000,000","-6,033,000,000","6,371,000,000","-4,311,000,000","40,411,000,000","14,062,000,000","-34,550,000,000","17,088,000,000","8,987,000,000","-565,000,000","-6,207,000,000","-6,948,000,000","-7,374,000,000"
	FreeCashFlow,,"-52,835,000,000","-2,345,000,000","27,620,000,000","24,176,000,000","18,569,000,000","14,808,000,000","8,901,000,000","55,705,000,000","38,407,000,000","-4,488,000,000","30,602,000,000","28,661,000,000","11,694,000,000","14,018,000,000","-3,719,000,000","5,253,000,000"
	OtherNonCashItems,,"-3,976,000,000","-4,880,000,000","5,763,000,000","-1,733,000,000","1,528,000,000","-6,232,000,000","-4,853,000,000","-2,131,000,000","8,773,000,000",,,,,,"-4,406,000,000","6,343,000,000"
	OperatingCashFlow,,"-50,837,000,000","-518,000,000","28,967,000,000","25,661,000,000","20,325,000,000","16,535,000,000","10,402,000,000","57,336,000,000","40,345,000,000","-2,698,000,000","31,993,000,000","30,074,000,000","13,077,000,000","15,366,000,000","-2,738,000,000","6,017,000,000"
InvestingCashFlow,,"-323,000,000","1,325,000,000","-820,000,000","-1,017,000,000","-1,606,000,000","-3,058,000,000","-1,983,000,000","1,280,000,000","-1,613,000,000","-6,730,000,000","372,000,000","1,347,000,000","-2,593,000,000","-13,009,000,000","-1,714,000,000","-1,580,000,000"
	CapitalExpenditure,,"-1,998,000,000","-1,827,000,000","-1,347,000,000","-1,485,000,000","-1,756,000,000","-1,727,000,000","-1,501,000,000","-1,631,000,000","-1,938,000,000","-1,790,000,000","-1,391,000,000","-1,413,000,000","-1,383,000,000","-1,348,000,000","-981,000,000","-764,000,000"
	PurchaseOfBusiness,,,,,,,,,,,"-4,940,000,000",,,"-1,210,000,000","-11,661,000,000","-733,000,000","-816,000,000"
	InvestingCashFlow,,"-323,000,000","1,325,000,000","-820,000,000","-1,017,000,000","-1,606,000,000","-3,058,000,000","-1,983,000,000","1,280,000,000","-1,613,000,000","-6,730,000,000","372,000,000","1,347,000,000","-2,593,000,000","-13,009,000,000","-1,714,000,000","-1,580,000,000"
ChangeInCashSupplementalAsReported,,"-30,305,000,000","7,462,000,000","19,098,000,000","22,789,000,000","21,181,000,000","14,236,000,000","-2,097,000,000","49,878,000,000","25,314,000,000","-29,188,000,000","11,241,000,000","18,923,000,000","7,964,000,000","7,509,000,000","1,219,000,000","2,061,000,000"
BeginningCashPosition,,"182,523,000,000","175,061,000,000","155,963,000,000","133,174,000,000","111,993,000,000","97,755,000,000","100,207,000,000","50,329,000,000","25,015,000,000","54,202,000,000","42,961,000,000","24,038,000,000","16,074,000,000","8,565,000,000","7,346,000,000","5,285,000,000"
EndCashPosition,,"152,218,000,000","182,523,000,000","175,061,000,000","155,963,000,000","133,174,000,000","111,991,000,000","98,110,000,000","100,207,000,000","50,329,000,000","25,015,000,000","54,202,000,000","42,961,000,000","24,038,000,000","16,074,000,000","8,565,000,000","7,346,000,000"
FreeCashFlow,,"-52,835,000,000","-2,345,000,000","27,620,000,000","24,176,000,000","18,569,000,000","14,808,000,000","8,901,000,000","55,705,000,000","38,407,000,000","-4,488,000,000","30,602,000,000","28,661,000,000","11,694,000,000","14,018,000,000","-3,719,000,000","5,253,000,000"
	OperatingCashFlow,,"-50,837,000,000","-518,000,000","28,967,000,000","25,661,000,000","20,325,000,000","16,535,000,000","10,402,000,000","57,336,000,000","40,345,000,000","-2,698,000,000","31,993,000,000","30,074,000,000","13,077,000,000","15,366,000,000","-2,738,000,000","6,017,000,000"
	CapitalExpenditure,,"-1,998,000,000","-1,827,000,000","-1,347,000,000","-1,485,000,000","-1,756,000,000","-1,727,000,000","-1,501,000,000","-1,631,000,000","-1,938,000,000","-1,790,000,000","-1,391,000,000","-1,413,000,000","-1,383,000,000","-1,348,000,000","-981,000,000","-764,000,000"
	FreeCashFlow,,"-52,835,000,000","-2,345,000,000","27,620,000,000","24,176,000,000","18,569,000,000","14,808,000,000","8,901,000,000","55,705,000,000","38,407,000,000","-4,488,000,000","30,602,000,000","28,661,000,000","11,694,000,000","14,018,000,000","-3,719,000,000","5,253,000,000"