name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990
OperatingCashFlow,"7,015,000,000","12,197,000,000","674,000,000","5,462,000,000","4,859,000,000","-934,000,000","8,885,000,000","18,532,000,000","8,466,000,000","10,320,000,000","9,861,000,000","1,288,000,000","-10,498,000,000","-7,350,000,000","9,220,000,000","6,139,000,000","51,852,000,000","4,482,000,000","16,995,000,000","17,774,000,000","14,569,000,000","-12,403,000,000","-7,484,000,000","5,443,000,000","-1,790,000,000","1,752,000,000","-14,587,000,000","10,606,000,000","1,587,000,000","5,879,000,000","2,103,000,000"
	NetIncome,"6,251,000,000","7,214,000,000","9,235,000,000","5,625,000,000","7,815,000,000","6,376,000,000","7,690,000,000","48,668,000,000","10,982,000,000","-5,266,000,000","-14,025,000,000","-21,553,000,000","-50,119,000,000","-3,094,000,000","2,211,000,000","2,130,000,000","2,937,000,000","4,816,000,000","10,090,000,000","4,147,000,000","2,547,000,000","2,223,000,000","1,700,000,000","1,395,000,000","1,243,000,000","1,091,000,000","983,000,000","786,000,000","622,000,000","555,000,000","414,000,000"
	DepreciationAndAmortization,,,,,,,,,,,,,"8,272,000,000","10,803,000,000","11,202,000,000","4,713,000,000","4,647,000,000","3,453,000,000","868,000,000","8,357,000,000","11,140,000,000","9,307,000,000","7,102,000,000","4,152,000,000","153,000,000","166,000,000","266,000,000","359,000,000","277,000,000","292,000,000","240,000,000"
	DeferredIncomeTax,,"817,000,000","1,391,000,000","7,773,000,000","2,787,000,000","1,655,000,000","2,284,000,000","-23,422,000,000","3,000,000","-117,000,000","-670,000,000","-670,000,000","5,507,000,000","-3,943,000,000","-1,074,000,000","-1,452,000,000","-346,000,000","737,000,000","2,690,000,000","-606,000,000",,,,,,"108,000,000","32,000,000","-167,000,000","-219,000,000","-205,000,000","-193,000,000"
	ChangeInWorkingCapital,,"769,000,000","-1,202,000,000","1,965,000,000","-1,343,000,000","939,000,000","-56,000,000","-7,000,000","-1,430,000,000","-710,000,000","-206,000,000","-7,885,000,000","-1,266,000,000","-10,852,000,000","405,000,000","-569,000,000","40,234,000,000","-9,620,000,000","7,072,000,000",,,,,,"-1,030,000,000","3,573,000,000","-32,683,000,000","-2,028,000,000","4,376,000,000","8,212,000,000","-57,000,000"
	ChangesInAccountReceivables,,"-120,000,000","-373,000,000","-220,000,000","-61,000,000","-40,000,000","116,000,000","725,000,000","1,187,000,000","651,000,000",,"-1,343,000,000",,,,,,,,,,,,,,,,,,,
	ChangeInAccountPayable,,"177,000,000","440,000,000","273,000,000","-52,000,000","-43,000,000","-440,000,000","-849,000,000","-1,094,000,000","-1,080,000,000","-1,700,000,000","-1,324,000,000",,,,,,,,,,,,,,,,,,,
	FreeCashFlow,"7,015,000,000","12,197,000,000","674,000,000","5,462,000,000","4,859,000,000","-934,000,000","8,885,000,000","18,532,000,000","8,466,000,000","10,320,000,000","9,861,000,000","1,288,000,000","-10,498,000,000","-7,350,000,000","9,220,000,000","6,139,000,000","51,852,000,000","4,482,000,000","16,995,000,000","17,774,000,000","14,569,000,000","-12,403,000,000","-7,484,000,000","5,443,000,000","-1,790,000,000","1,752,000,000","-14,587,000,000","10,606,000,000","1,587,000,000","5,879,000,000","2,103,000,000"
	OtherNonCashItems,,"5,997,000,000","-5,076,000,000","-3,828,000,000","701,000,000","-6,839,000,000","-4,028,000,000","4,470,000,000","-2,606,000,000","573,000,000","2,079,000,000","-6,256,000,000","10,986,000,000","1,017,000,000","-4,388,000,000","4,075,000,000","4,375,000,000","4,194,000,000","3,464,000,000","5,984,000,000","890,000,000","-23,928,000,000","-16,286,000,000","-104,000,000","-39,644,000,000","-27,359,000,000","-24,310,000,000","-65,842,000,000","-89,683,000,000","-42,590,000,000","1,699,000,000"
	OperatingCashFlow,"7,015,000,000","12,197,000,000","674,000,000","5,462,000,000","4,859,000,000","-934,000,000","8,885,000,000","18,532,000,000","8,466,000,000","10,320,000,000","9,861,000,000","1,288,000,000","-10,498,000,000","-7,350,000,000","9,220,000,000","6,139,000,000","51,852,000,000","4,482,000,000","16,995,000,000","17,774,000,000","14,569,000,000","-12,403,000,000","-7,484,000,000","5,443,000,000","-1,790,000,000","1,752,000,000","-14,587,000,000","10,606,000,000","1,587,000,000","5,879,000,000","2,103,000,000"
InvestingCashFlow,"30,693,000,000","48,152,000,000","119,648,000,000","151,444,000,000","169,228,000,000","178,946,000,000","205,268,000,000","391,251,000,000","494,397,000,000","373,688,000,000","386,600,000,000","47,563,000,000","-71,071,000,000","9,547,000,000","-6,191,000,000","-51,093,000,000","-25,897,000,000","-56,109,000,000","-84,920,000,000","-142,010,000,000","-72,401,000,000","-48,903,000,000","-99,798,000,000","-16,285,000,000","-33,141,000,000","-31,889,000,000","-19,315,000,000","-33,718,000,000","-3,624,000,000","-595,000,000","-5,328,000,000"
	PurchaseOfBusiness,,,,,,,,,"0",,"-23,000,000",,,,,,,,,,,,,,,,,,,,
	PurchaseOfInvestment,"-141,893,000,000","-111,136,000,000","-151,678,000,000","-170,882,000,000","-132,351,000,000","-47,432,000,000","-67,767,000,000","-63,434,000,000","-37,132,000,000","-60,148,000,000","-64,167,000,000","-270,447,000,000","-379,169,000,000","-319,213,000,000","-409,673,000,000","-427,043,000,000","-288,188,000,000","-464,638,000,000","-451,613,000,000","-34,780,000,000","-11,189,000,000","-3,205,000,000","-31,329,000,000","-542,000,000","-5,177,000,000","-3,304,000,000","-1,715,000,000","-6,145,000,000","-2,963,000,000","-2,458,000,000","-3,489,000,000"
	SaleOfInvestment,"158,802,000,000","116,060,000,000","165,341,000,000","193,810,000,000","137,907,000,000","70,931,000,000","88,427,000,000","128,227,000,000","88,993,000,000","85,238,000,000","105,203,000,000","331,178,000,000","343,458,000,000","345,486,000,000","402,528,000,000","373,907,000,000","263,731,000,000","403,859,000,000","370,340,000,000","1,957,000,000",,"12,770,000,000","5,226,000,000","5,352,000,000","2,777,000,000","7,194,000,000","2,137,000,000",,"378,000,000","4,626,000,000",
	NetOtherInvestingChanges,"-9,503,000,000","-7,505,000,000","3,784,000,000","7,783,000,000","7,399,000,000","-15,821,000,000","7,420,000,000","19,663,000,000","14,040,000,000","-11,734,000,000","20,492,000,000","426,000,000","-35,360,000,000","-16,726,000,000","954,000,000","2,043,000,000","-1,440,000,000","4,670,000,000","-3,647,000,000","-109,187,000,000","-61,212,000,000","-58,468,000,000","-73,695,000,000","-21,095,000,000","-30,741,000,000","-35,779,000,000","-19,737,000,000","-27,573,000,000","-1,039,000,000","-2,763,000,000","-1,839,000,000"
	InvestingCashFlow,"30,693,000,000","48,152,000,000","119,648,000,000","151,444,000,000","169,228,000,000","178,946,000,000","205,268,000,000","391,251,000,000","494,397,000,000","373,688,000,000","386,600,000,000","47,563,000,000","-71,071,000,000","9,547,000,000","-6,191,000,000","-51,093,000,000","-25,897,000,000","-56,109,000,000","-84,920,000,000","-142,010,000,000","-72,401,000,000","-48,903,000,000","-99,798,000,000","-16,285,000,000","-33,141,000,000","-31,889,000,000","-19,315,000,000","-33,718,000,000","-3,624,000,000","-595,000,000","-5,328,000,000"
CashFlowFromContinuingFinancingActivities,"-33,530,000,000","-62,433,000,000","-122,860,000,000","-162,427,000,000","-167,313,000,000","-183,345,000,000","-214,506,000,000","-407,015,000,000","-522,792,000,000","-392,578,000,000","-424,132,000,000","-29,494,000,000","118,321,000,000","-4,982,000,000","-2,138,000,000","20,169,000,000","-13,844,000,000","63,977,000,000","75,253,000,000","125,378,000,000","53,054,000,000","63,885,000,000","109,409,000,000","11,004,000,000","36,589,000,000","26,178,000,000","42,128,000,000","19,875,000,000","503,000,000","-1,044,000,000","4,445,000,000"
	RepaymentOfDebt,"-1,812,528,000,000","-1,203,783,000,000","-911,071,000,000","-956,397,000,000","-1,075,668,000,000","-962,482,000,000","-771,630,000,000","-1,170,904,000,000","-1,325,521,000,000","-1,514,420,000,000","-1,642,134,000,000","-1,396,149,000,000","-267,732,000,000","-222,541,000,000","-159,204,000,000","-125,959,000,000","-184,710,000,000","-210,841,000,000","-140,449,000,000","-152,236,000,000","-13,430,000,000","-23,568,000,000","-54,708,000,000","-21,879,000,000","-20,819,000,000","-11,082,000,000","-6,462,000,000","-9,924,000,000","-5,159,000,000","-2,652,000,000","-1,053,000,000"
	RepurchaseOfCapitalStock,,,,,,,,,"0",,"-100,000,000",,,,,,,,,,,,,,,,,,,,
	CashDividendsPaid,"0","-3,142,000,000","-4,145,000,000","-10,945,000,000","-4,983,000,000","-5,510,000,000","-19,610,000,000","-47,591,000,000","-7,233,000,000","-6,495,000,000","-5,749,000,000","-4,105,000,000","-1,008,000,000","-1,553,000,000","-1,580,000,000","-1,299,000,000","-1,046,000,000","-934,000,000","-845,000,000","-772,000,000","-654,000,000","-570,000,000","-447,000,000","-581,000,000","-323,000,000","-281,000,000","-253,000,000","-211,000,000","-167,000,000","-121,000,000","-97,000,000"
	NetOtherFinancingCharges,"-117,000,000","-130,000,000","-2,000,000","-3,000,000","-6,000,000","-5,000,000","-7,000,000",,"1,000,000","1,000,000","1,000,000","36,901,000,000","-822,000,000","-1,071,000,000","-1,874,000,000","-1,376,000,000","-405,000,000","-725,000,000","-350,000,000",,,,,,,,,,,,
	CashFlowFromContinuingFinancingActivities,"-33,530,000,000","-62,433,000,000","-122,860,000,000","-162,427,000,000","-167,313,000,000","-183,345,000,000","-214,506,000,000","-407,015,000,000","-522,792,000,000","-392,578,000,000","-424,132,000,000","-29,494,000,000","118,321,000,000","-4,982,000,000","-2,138,000,000","20,169,000,000","-13,844,000,000","63,977,000,000","75,253,000,000","125,378,000,000","53,054,000,000","63,885,000,000","109,409,000,000","11,004,000,000","36,589,000,000","26,178,000,000","42,128,000,000","19,875,000,000","503,000,000","-1,044,000,000","4,445,000,000"
ChangeInCashSupplementalAsReported,"4,178,000,000","-2,084,000,000","-2,538,000,000","-5,521,000,000","6,774,000,000","-5,333,000,000","-353,000,000","2,768,000,000","-19,929,000,000","-8,570,000,000","-27,671,000,000","19,357,000,000","36,752,000,000","-2,785,000,000","891,000,000","-24,785,000,000","12,111,000,000","12,350,000,000","7,328,000,000","1,142,000,000","-4,778,000,000","2,579,000,000","2,127,000,000","162,000,000","1,658,000,000","-3,959,000,000","8,226,000,000","-3,237,000,000","-1,534,000,000","4,240,000,000","1,220,000,000"
BeginningCashPosition,"3,427,000,000","7,273,000,000","9,811,000,000","12,369,000,000","5,595,000,000","10,928,000,000","11,281,000,000","8,513,000,000","28,442,000,000","37,012,000,000","64,683,000,000","45,326,000,000","8,574,000,000","11,359,000,000","10,468,000,000","35,253,000,000","23,142,000,000","10,792,000,000","3,464,000,000","366,000,000","5,144,000,000","2,565,000,000","438,000,000","276,000,000","7,483,000,000","11,442,000,000","3,216,000,000","6,453,000,000","7,987,000,000","3,747,000,000","3,639,000,000"
EndCashPosition,"7,605,000,000","5,189,000,000","7,273,000,000","6,848,000,000","12,369,000,000","5,595,000,000","10,928,000,000","11,281,000,000","8,513,000,000","28,442,000,000","37,012,000,000","64,683,000,000","45,326,000,000","8,574,000,000","11,359,000,000","10,468,000,000","35,253,000,000","23,142,000,000","10,792,000,000","1,508,000,000","366,000,000","5,144,000,000","2,565,000,000","438,000,000","0","0","0","0","0","0","0"
FreeCashFlow,"7,015,000,000","12,197,000,000","674,000,000","5,462,000,000","4,859,000,000","-934,000,000","8,885,000,000","18,532,000,000","8,466,000,000","10,320,000,000","9,861,000,000","1,288,000,000","-10,498,000,000","-7,350,000,000","9,220,000,000","6,139,000,000","51,852,000,000","4,482,000,000","16,995,000,000","17,774,000,000","14,569,000,000","-12,403,000,000","-7,484,000,000","5,443,000,000","-1,790,000,000","1,752,000,000","-14,587,000,000","10,606,000,000","1,587,000,000","5,879,000,000","2,103,000,000"
	OperatingCashFlow,"7,015,000,000","12,197,000,000","674,000,000","5,462,000,000","4,859,000,000","-934,000,000","8,885,000,000","18,532,000,000","8,466,000,000","10,320,000,000","9,861,000,000","1,288,000,000","-10,498,000,000","-7,350,000,000","9,220,000,000","6,139,000,000","51,852,000,000","4,482,000,000","16,995,000,000","17,774,000,000","14,569,000,000","-12,403,000,000","-7,484,000,000","5,443,000,000","-1,790,000,000","1,752,000,000","-14,587,000,000","10,606,000,000","1,587,000,000","5,879,000,000","2,103,000,000"
	FreeCashFlow,"7,015,000,000","12,197,000,000","674,000,000","5,462,000,000","4,859,000,000","-934,000,000","8,885,000,000","18,532,000,000","8,466,000,000","10,320,000,000","9,861,000,000","1,288,000,000","-10,498,000,000","-7,350,000,000","9,220,000,000","6,139,000,000","51,852,000,000","4,482,000,000","16,995,000,000","17,774,000,000","14,569,000,000","-12,403,000,000","-7,484,000,000","5,443,000,000","-1,790,000,000","1,752,000,000","-14,587,000,000","10,606,000,000","1,587,000,000","5,879,000,000","2,103,000,000"