name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991
OperatingCashFlow,"6,121,200,000","7,238,700,000","5,640,100,000","5,873,400,000","1,425,300,000","4,530,000,000","2,243,000,000","1,213,500,000","665,800,000","632,000,000","571,000,000","376,800,000","416,554,000","427,178,000","471,365,000","325,503,000","308,269,000","262,517,000","307,947,000","200,686,000","-40,571,000","123,200,000","117,700,000","97,100,000","101,600,000","35,400,000","17,500,000","14,700,000","2,300,000","2,200,000"
	NetIncome,"-2,485,000,000","-5,271,000,000","-5,096,400,000","-4,125,500,000","14,973,400,000","3,915,200,000","-1,630,500,000","-750,400,000","97,300,000","260,900,000","184,400,000","222,000,000","238,379,000","141,030,000","-445,005,000","138,233,000","151,333,000","202,864,000","175,796,000","116,361,000","157,495,000","178,900,000","120,800,000","90,200,000","73,300,000","47,900,000","18,700,000","12,200,000","3,600,000","1,600,000"
	DepreciationAndAmortization,"6,218,300,000","6,192,000,000","6,748,600,000","7,368,600,000","6,631,000,000","5,995,300,000","2,828,400,000","1,044,700,000","578,600,000","447,900,000","281,900,000","189,000,000","170,737,000","253,559,000","218,346,000","206,726,000","106,666,000","100,352,000","86,576,000","101,225,000","71,409,000","44,000,000","31,300,000","14,600,000","7,200,000","6,300,000","3,800,000","2,200,000","1,600,000","1,200,000"
	DeferredIncomeTax,"-2,362,300,000","-660,900,000","-1,255,700,000","-7,783,100,000","3,841,300,000","-7,380,100,000","-690,100,000","-275,000,000","-221,000,000","-126,900,000","-118,300,000","-19,000,000","3,513,000","-6,250,000","-24,688,000","-5,362,000","13,463,000","-30,245,000","-29,921,000","1,659,000","-8,659,000","-3,000,000",,"-1,900,000","20,400,000","8,200,000","-900,000","-1,100,000",,
	StockBasedCompensation,"213,600,000","214,300,000","239,800,000","293,300,000","334,500,000","690,400,000","368,000,000","133,600,000","48,800,000","39,800,000","23,500,000","19,100,000","18,537,000",,,,,,,,,,,,,,,,,
	ChangeInWorkingCapital,"1,177,600,000","2,102,900,000","-1,292,100,000","933,900,000","-726,500,000","-1,272,200,000","-420,000,000","-163,900,000","-32,600,000","-114,400,000","88,900,000","-83,600,000","-37,318,000","-17,747,000","116,297,000","-90,226,000","-37,053,000","-20,871,000","66,929,000","-157,086,000","-61,490,000","-69,200,000","-57,700,000","-15,500,000","-11,500,000","-12,900,000","-4,000,000","1,100,000","-2,900,000","-1,500,000"
	ChangesInAccountReceivables,"-161,000,000","-358,800,000","-37,000,000","-188,300,000","-191,000,000","-1,034,300,000","-611,100,000","19,100,000","371,100,000","-590,900,000","39,400,000","-32,800,000","-55,550,000",,,,,,,,,,,,,,,,,
	ChangeInInventory,"-391,400,000","-393,400,000","-145,700,000","-144,800,000","-268,400,000","-226,200,000","-207,200,000","-213,100,000","-6,200,000","-282,200,000","10,500,000","-82,200,000","-28,219,000","-25,093,000","-53,682,000","1,045,000","72,094,000","-45,526,000","-74,416,000","-7,171,000","-82,276,000","-26,600,000","-18,300,000","-14,500,000","-600,000","-6,300,000","-3,800,000","-4,000,000","-2,100,000","-1,600,000"
	ChangeInAccountPayable,"391,300,000","1,434,400,000","151,600,000","95,900,000","313,500,000","142,500,000","416,500,000","-20,400,000","-222,700,000",,,,,,,,,,,,,,,,,,,,,
	FreeCashFlow,"5,642,000,000","6,805,200,000","5,386,600,000","4,909,200,000","1,091,900,000","3,920,400,000","1,968,300,000","905,600,000","519,300,000","486,600,000","503,500,000","304,900,000","316,066,000","351,308,000","426,337,000","246,670,000","239,060,000","111,158,000","220,481,000","138,641,000","-74,911,000","96,500,000","19,600,000","82,500,000","91,400,000","12,800,000","-2,500,000","1,900,000","-3,300,000","-1,600,000"
	OtherNonCashItems,"154,800,000","66,100,000","-54,900,000","245,000,000","-75,700,000","473,500,000","213,500,000","210,800,000","45,900,000","61,100,000","109,200,000","54,400,000","39,274,000","71,961,000","113,667,000",,,,"2,022,000",,,"-200,000",,"20,200,000","-100,000","-7,900,000","-200,000",,,"1,100,000"
	OperatingCashFlow,"6,121,200,000","7,238,700,000","5,640,100,000","5,873,400,000","1,425,300,000","4,530,000,000","2,243,000,000","1,213,500,000","665,800,000","632,000,000","571,000,000","376,800,000","416,554,000","427,178,000","471,365,000","325,503,000","308,269,000","262,517,000","307,947,000","200,686,000","-40,571,000","123,200,000","117,700,000","97,100,000","101,600,000","35,400,000","17,500,000","14,700,000","2,300,000","2,200,000"
InvestingCashFlow,"-1,074,900,000","-2,858,800,000","3,098,500,000","-878,000,000","24,333,300,000","-37,120,900,000","-5,370,600,000","-275,300,000","-5,749,000,000","-719,000,000","-74,100,000","-1,036,100,000","-93,357,000","-64,292,000","-1,419,419,000","116,355,000","-206,929,000","-269,950,000","-201,164,000","-41,869,000","-228,755,000","-65,500,000","-280,900,000","-130,800,000","-50,200,000","-20,400,000","-12,100,000","-26,500,000","-5,400,000","-2,600,000"
	CapitalExpenditure,"-479,200,000","-433,500,000","-253,500,000","-964,200,000","-333,400,000","-609,600,000","-274,700,000","-307,900,000","-146,500,000","-145,400,000","-67,500,000","-71,900,000","-100,488,000","-75,870,000","-45,028,000","-78,833,000","-69,209,000","-151,359,000","-87,466,000","-62,045,000","-34,340,000","-26,700,000","-98,100,000","-14,600,000","-10,200,000","-22,600,000","-20,000,000","-12,800,000","-5,600,000","-3,800,000"
	PurchaseOfBusiness,"0","-80,600,000","0","-5,290,400,000","-1,198,900,000","-37,510,100,000","-5,562,300,000","-15,100,000","-5,742,800,000","-575,100,000","-67,500,000","-968,200,000","-1,441,000",,,,,,,,,,,,,,,,,
	PurchaseOfInvestment,"-3,404,800,000","-3,938,000,000","-2,471,700,000","-9,783,800,000","-15,743,500,000","-24,300,000","-1,000,000","0","-161,900,000","-13,600,000","-49,200,000","-8,000,000","-8,202,000","-8,451,000","-18,835,000","-26,083,000","-216,515,000",,,,"-44,170,000","-55,100,000","-69,000,000","-130,300,000","-841,600,000","-402,900,000","-19,200,000","-13,700,000",,
	SaleOfInvestment,"2,800,500,000","1,569,600,000","6,259,300,000","15,153,300,000","7,771,600,000","883,000,000","12,000,000","33,200,000","58,900,000","6,100,000","107,400,000","9,000,000","15,985,000","4,113,000","158,185,000","220,083,000","72,364,000","42,770,000","9,087,000","68,787,000","440,713,000","129,300,000","73,200,000","179,100,000","801,200,000","396,700,000","27,000,000",,"300,000","1,300,000"
	NetOtherInvestingChanges,,,"-466,000,000",,,,"441,700,000","7,400,000","235,300,000","2,300,000",,"3,000,000","789,000","1,531,000","9,026,000","1,188,000","-24,048,000","-162,630,000","-122,785,000","-20,229,000","-53,614,000","-113,000,000","-187,000,000","-166,000,000","-100,000","-100,000","100,000",,"-100,000","-100,000"
	InvestingCashFlow,"-1,074,900,000","-2,858,800,000","3,098,500,000","-878,000,000","24,333,300,000","-37,120,900,000","-5,370,600,000","-275,300,000","-5,749,000,000","-719,000,000","-74,100,000","-1,036,100,000","-93,357,000","-64,292,000","-1,419,419,000","116,355,000","-206,929,000","-269,950,000","-201,164,000","-41,869,000","-228,755,000","-65,500,000","-280,900,000","-130,800,000","-50,200,000","-20,400,000","-12,100,000","-26,500,000","-5,400,000","-2,600,000"
CashFlowFromContinuingFinancingActivities,"-4,807,500,000","-2,766,100,000","-9,680,100,000","-4,923,600,000","-25,122,100,000","33,443,400,000","3,017,500,000","-867,300,000","5,189,600,000","16,400,000","-411,300,000","353,100,000","-20,173,000","-312,503,000","634,774,000","-273,060,000","-120,730,000","330,631,000","-70,359,000","-31,280,000","227,348,000","-15,300,000","126,000,000","-41,600,000","4,600,000","6,000,000","3,500,000","54,300,000","2,200,000","800,000"
	RepaymentOfDebt,"-3,917,300,000","-1,044,900,000","-8,804,500,000","-6,413,600,000","-10,848,700,000","-5,134,200,000","-6,127,000,000","-3,229,500,000","-679,700,000","-428,800,000","-459,700,000","-786,600,000","-95,635,000",,,,,,,,,,,,,,,,,
	CommonStockIssuance,,,,"0","0","4,071,100,000",,,,"54,900,000","54,700,000","33,400,000","8,438,000","16,160,000","8,137,000","28,424,000","32,255,000","36,964,000","5,117,000","22,410,000","109,727,000","16,800,000","23,400,000","15,000,000","5,200,000","7,500,000","400,000","57,000,000","100,000","1,300,000"
	RepurchaseOfCapitalStock,"-66,100,000","-840,600,000","-2,775,400,000","-493,000,000","-15,076,400,000","-118,000,000","-130,100,000","-170,000,000","-16,100,000","-14,200,000","-6,300,000","-3,600,000","-885,000","-1,776,000",,"-300,000,000",,,,,,,,,,,,,,
	CashDividendsPaid,"-971,800,000","-974,400,000","-1,049,800,000","-1,218,200,000","-278,400,000","-208,100,000",,,,,,,,,,,,,,,"-2,430,000",,,,,,,,,
	NetOtherFinancingCharges,"-10,100,000","-9,300,000","190,200,000","-532,200,000","-140,700,000","-464,800,000","-187,500,000","46,900,000","-173,900,000","4,500,000","-459,700,000",,"-87,197,000",,,"-1,484,000",,"-1,012,000","-7,083,000","-7,642,000","-15,000,000","-30,400,000","-45,000,000","-55,000,000",,,"100,000",,"100,000","300,000"
	CashFlowFromContinuingFinancingActivities,"-4,807,500,000","-2,766,100,000","-9,680,100,000","-4,923,600,000","-25,122,100,000","33,443,400,000","3,017,500,000","-867,300,000","5,189,600,000","16,400,000","-411,300,000","353,100,000","-20,173,000","-312,503,000","634,774,000","-273,060,000","-120,730,000","330,631,000","-70,359,000","-31,280,000","227,348,000","-15,300,000","126,000,000","-41,600,000","4,600,000","6,000,000","3,500,000","54,300,000","2,200,000","800,000"
ChangeInCashSupplementalAsReported,"211,000,000","1,622,900,000","-936,800,000","93,200,000","628,000,000","846,000,000","-79,000,000","10,000,000","109,700,000","-73,500,000","81,400,000","-306,200,000","303,024,000","50,383,000","-313,280,000","168,798,000","-19,390,000","323,198,000","36,424,000","127,537,000","-41,978,000","42,400,000","-37,100,000","-75,400,000","56,000,000","21,000,000","8,800,000","42,500,000","-900,000","500,000"
BeginningCashPosition,"788,500,000","880,400,000","1,817,200,000","1,724,000,000","1,096,000,000","250,000,000","329,000,000","319,000,000","209,300,000","282,800,000","201,400,000","507,600,000","204,554,000","154,171,000","467,451,000","298,653,000","318,043,000","230,155,000","193,731,000","66,194,000","108,172,000","59,700,000","82,800,000","158,200,000","92,200,000","71,200,000","42,700,000","200,000","1,000,000","500,000"
EndCashPosition,"1,027,300,000","2,503,300,000","880,400,000","1,817,200,000","1,724,000,000","1,096,000,000","250,000,000","329,000,000","319,000,000","209,300,000","282,800,000","201,400,000","507,578,000","204,554,000","154,171,000","467,451,000","298,653,000","553,353,000","230,155,000","193,731,000","66,194,000","102,100,000","0","0","0","92,200,000","0","0","0","0"
FreeCashFlow,"5,642,000,000","6,805,200,000","5,386,600,000","4,909,200,000","1,091,900,000","3,920,400,000","1,968,300,000","905,600,000","519,300,000","486,600,000","503,500,000","304,900,000","316,066,000","351,308,000","426,337,000","246,670,000","239,060,000","111,158,000","220,481,000","138,641,000","-74,911,000","96,500,000","19,600,000","82,500,000","91,400,000","12,800,000","-2,500,000","1,900,000","-3,300,000","-1,600,000"
	OperatingCashFlow,"6,121,200,000","7,238,700,000","5,640,100,000","5,873,400,000","1,425,300,000","4,530,000,000","2,243,000,000","1,213,500,000","665,800,000","632,000,000","571,000,000","376,800,000","416,554,000","427,178,000","471,365,000","325,503,000","308,269,000","262,517,000","307,947,000","200,686,000","-40,571,000","123,200,000","117,700,000","97,100,000","101,600,000","35,400,000","17,500,000","14,700,000","2,300,000","2,200,000"
	CapitalExpenditure,"-479,200,000","-433,500,000","-253,500,000","-964,200,000","-333,400,000","-609,600,000","-274,700,000","-307,900,000","-146,500,000","-145,400,000","-67,500,000","-71,900,000","-100,488,000","-75,870,000","-45,028,000","-78,833,000","-69,209,000","-151,359,000","-87,466,000","-62,045,000","-34,340,000","-26,700,000","-98,100,000","-14,600,000","-10,200,000","-22,600,000","-20,000,000","-12,800,000","-5,600,000","-3,800,000"
	FreeCashFlow,"5,642,000,000","6,805,200,000","5,386,600,000","4,909,200,000","1,091,900,000","3,920,400,000","1,968,300,000","905,600,000","519,300,000","486,600,000","503,500,000","304,900,000","316,066,000","351,308,000","426,337,000","246,670,000","239,060,000","111,158,000","220,481,000","138,641,000","-74,911,000","96,500,000","19,600,000","82,500,000","91,400,000","12,800,000","-2,500,000","1,900,000","-3,300,000","-1,600,000"