name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,06/30/1995,06/30/1994,06/30/1993,06/30/1992,06/30/1991,06/30/1990,06/30/1989,06/30/1988,06/30/1987,06/30/1986
OperatingCashFlow,"9,693,000,000","8,020,000,000","8,421,000,000","6,918,000,000","6,497,000,000","2,569,000,000","5,176,000,000","7,222,000,000","4,375,000,000","6,250,000,000","6,797,000,000","7,841,000,000","7,205,000,000","6,166,977,500","4,355,838,940","5,956,890,000","4,701,103,120","4,851,840,000","3,060,000,000","4,609,076,310","1,852,000,000","510,000,000","410,000,000","615,000,000","849,000,000","1,252,000,000","2,449,028,794","1,053,000,000","927,000,000","657,000,000","615,000,000",,,,,
	NetIncome,"6,679,000,000","4,645,000,000","3,623,000,000","1,532,000,000","912,000,000","8,422,000,000","2,756,000,000","5,436,000,000","4,565,000,000","5,261,000,000","1,634,000,000","5,531,000,000","4,712,000,000","5,218,987,500","5,387,377,550","4,687,636,560","4,300,177,280","4,478,320,000","3,935,000,000","3,099,787,920","4,162,000,000","1,811,000,000","1,836,000,000","1,850,000,000","1,997,000,000","1,458,000,000","1,039,303,494","1,299,000,000","1,207,000,000","1,033,000,000","881,000,000","807,000,000","688,000,000","581,000,000","510,000,000","400,000,000"
	DepreciationAndAmortization,"-596,000,000","2,334,000,000","1,856,000,000","1,922,000,000","1,774,000,000","1,630,000,000","1,484,000,000","1,414,000,000","1,445,000,000","1,423,000,000","1,679,000,000","1,562,000,000","1,231,000,000","1,023,123,250","958,039,570","903,703,800","890,482,880","859,040,000","824,000,000","812,799,630","735,000,000","428,000,000","358,000,000","373,000,000","410,000,000","533,000,000","330,422,028","282,000,000","225,000,000","191,000,000","151,000,000",,,,,
	StockBasedCompensation,,"365,000,000","360,000,000","333,000,000","319,000,000","368,000,000","332,000,000","319,000,000","220,000,000","198,000,000","179,000,000","179,000,000",,,,,,,,,,,,,,,,,,,,,,,,
	ChangeInWorkingCapital,"2,723,000,000","355,000,000","3,485,000,000","1,784,000,000","4,008,000,000","1,675,000,000","661,000,000","56,000,000","-2,429,000,000","-1,771,000,000","2,777,000,000","-151,000,000","477,000,000","-846,635,750","-743,156,960","-75,550,800","-510,411,440","-407,680,000","941,000,000","829,317,150","297,000,000","-278,000,000","-552,000,000","-207,000,000","-302,000,000","-46,000,000","-60,031,064","50,000,000","4,000,000","-73,000,000","-116,000,000",,,,,
	ChangeInInventory,,"300,000,000","51,000,000","-461,000,000","70,000,000","-111,000,000","-529,000,000","-95,000,000","37,000,000","-157,000,000","238,000,000","-132,000,000","-411,000,000","-457,354,750","-298,079,440","47,073,960","-32,845,680","-76,160,000","-2,000,000","252,580,410","-16,000,000","-391,000,000","-297,000,000","-184,000,000","-96,000,000","8,000,000","44,081,388","5,000,000","29,000,000","-47,000,000","-57,000,000",,,,,
	FreeCashFlow,"7,723,000,000","5,857,000,000","6,625,000,000","4,716,000,000","4,145,000,000","668,000,000","3,425,000,000","5,521,000,000","2,855,000,000","4,922,000,000","5,162,000,000","5,968,000,000","5,136,000,000","4,021,898,000","2,766,422,200","5,054,348,520","3,836,688,240","3,983,840,000","1,834,000,000","3,491,390,790","749,000,000","-87,000,000","-65,000,000","200,000,000","448,000,000","568,000,000","1,963,442,792","478,000,000","319,000,000","63,000,000","9,000,000",,,,,
	OtherNonCashItems,"841,000,000","831,000,000","695,000,000","574,000,000","640,000,000","466,000,000","1,068,000,000","905,000,000","163,000,000","2,905,000,000","1,757,000,000","2,060,000,000","2,307,000,000","675,190,750","-1,355,648,960","-1,744,061,160","-1,766,367,680","-1,983,520,000","363,000,000","-1,776,321,630",,,,,,,"1,139,397,130",,,,,,,,,
	OperatingCashFlow,"9,693,000,000","8,020,000,000","8,421,000,000","6,918,000,000","6,497,000,000","2,569,000,000","5,176,000,000","7,222,000,000","4,375,000,000","6,250,000,000","6,797,000,000","7,841,000,000","7,205,000,000","6,166,977,500","4,355,838,940","5,956,890,000","4,701,103,120","4,851,840,000","3,060,000,000","4,609,076,310","1,852,000,000","510,000,000","410,000,000","615,000,000","849,000,000","1,252,000,000","2,449,028,794","1,053,000,000","927,000,000","657,000,000","615,000,000",,,,,
InvestingCashFlow,"1,935,000,000","-5,354,000,000","-1,553,000,000","-1,443,000,000","-1,269,000,000","6,037,000,000","-1,078,000,000","524,000,000","-2,631,000,000","-112,000,000","-1,868,000,000","-4,013,000,000","-1,149,000,000","-3,011,885,250","-1,520,511,390","-1,659,792,960","-1,103,719,120","-938,560,000","-1,088,000,000","-2,441,151,810","-484,000,000","-896,000,000","-830,000,000","-657,000,000","-104,000,000","-4,793,000,000","-4,743,898,318","-1,363,000,000","-858,000,000","-372,000,000","-851,000,000",,,,,
	CapitalExpenditure,"-1,970,000,000","-2,163,000,000","-1,796,000,000","-2,202,000,000","-2,352,000,000","-1,901,000,000","-1,751,000,000","-1,701,000,000","-1,520,000,000","-1,328,000,000","-1,635,000,000","-1,873,000,000","-2,069,000,000","-2,145,079,500","-1,589,416,740","-902,541,480","-864,414,880","-868,000,000","-1,226,000,000","-1,117,685,520","-1,103,000,000","-597,000,000","-475,000,000","-415,000,000","-401,000,000","-684,000,000","-485,586,002","-575,000,000","-608,000,000","-594,000,000","-606,000,000",,,,,
	PurchaseOfBusiness,"-67,000,000","-3,695,000,000","-163,000,000","-106,000,000","-84,000,000","-3,557,000,000","-113,000,000","-255,000,000","-2,334,000,000","-264,000,000","-354,000,000","-2,792,000,000","-454,000,000","-1,028,000,000","-286,000,000","-1,028,000,000","-299,000,000","-15,000,000","-26,000,000",,"-27,000,000","-70,000,000","-172,000,000","-38,000,000","-333,000,000","-6,977,000,000",,"-2,000,000","-3,000,000",,,,,,,
	PurchaseOfInvestment,"-417,000,000","-258,000,000","-309,000,000","-76,000,000","-96,000,000","-84,000,000","-82,000,000","-133,000,000","-229,000,000","-111,000,000","-340,000,000","-183,000,000","-96,000,000","-186,000,000","-69,926,170","-23,000,000","-102,707,920","-63,000,000","-76,000,000","-46,799,640","-1,294,000,000","-428,000,000","-61,000,000","-19,000,000","-25,000,000","-3,000,000",,"-4,000,000","-25,000,000","-6,000,000",,,,,,
	SaleOfInvestment,"2,902,000,000","70,000,000","151,000,000","64,000,000","683,000,000","357,000,000","205,000,000","74,000,000","252,000,000","1,132,000,000","118,000,000","146,000,000","947,000,000","44,878,250","32,155,830","35,000,000","57,870,960","125,000,000","123,000,000","139,022,460","495,000,000","118,000,000","54,000,000",,"3,000,000","37,000,000",,,,,,,,,,
	NetOtherInvestingChanges,,,,"-91,000,000","-73,000,000",,,,,"1,156,000,000","125,000,000","285,000,000","332,000,000","72,612,000","156,695,870","214,448,040","7,299,040","-107,520,000","52,000,000","-697,176,990","-223,000,000","-42,000,000","-251,000,000","-407,000,000","-55,000,000","2,641,000,000","-4,338,437,460","-804,000,000","-306,000,000","218,000,000","-273,000,000",,,,,
	InvestingCashFlow,"1,935,000,000","-5,354,000,000","-1,553,000,000","-1,443,000,000","-1,269,000,000","6,037,000,000","-1,078,000,000","524,000,000","-2,631,000,000","-112,000,000","-1,868,000,000","-4,013,000,000","-1,149,000,000","-3,011,885,250","-1,520,511,390","-1,659,792,960","-1,103,719,120","-938,560,000","-1,088,000,000","-2,441,151,810","-484,000,000","-896,000,000","-830,000,000","-657,000,000","-104,000,000","-4,793,000,000","-4,743,898,318","-1,363,000,000","-858,000,000","-372,000,000","-851,000,000",,,,,
ChangeInCashSupplementalAsReported,"3,338,000,000","826,000,000","479,000,000","-905,000,000","-1,164,000,000","1,503,000,000","-1,287,000,000","1,473,000,000","-1,607,000,000","-94,000,000","-642,000,000","1,054,000,000","1,148,000,000","1,460,308,000","-2,209,564,890","1,616,787,120","-335,755,840","-26,880,000","405,000,000","-613,212,930","822,000,000","-36,000,000","-81,000,000","-101,000,000","87,000,000","115,000,000","-113,154,788","-271,000,000","165,000,000","-181,000,000","237,000,000",,,,,
BeginningCashPosition,"4,406,000,000","4,087,000,000","3,600,000,000","4,605,000,000","5,486,000,000","4,028,000,000","5,231,000,000","3,906,000,000","5,605,000,000","5,807,000,000","6,368,000,000","5,472,000,000","3,221,000,000","1,763,866,500","3,970,989,800","2,354,279,160","-1,647,497,600","987,840,000","659,000,000","1,331,036,820","512,000,000","187,000,000","679,000,000","583,000,000","-1,549,000,000","-2,890,000,000","188,256,412","441,000,000","308,000,000","417,000,000","189,000,000",,,,,
EndCashPosition,"7,744,000,000","4,831,000,000","4,087,000,000","3,600,000,000","4,605,000,000","5,486,000,000","4,028,000,000","5,231,000,000","3,906,000,000","5,605,000,000","5,807,000,000","6,368,000,000","5,472,000,000","3,224,174,500","1,761,424,910","3,971,066,280","-1,983,253,440","960,960,000","-234,000,000","717,823,890","1,311,000,000","161,000,000","568,000,000","481,000,000","-1,285,000,000","-2,771,000,000","0","188,000,000","441,000,000","308,000,000","417,000,000",,,,,
FreeCashFlow,"7,723,000,000","5,857,000,000","6,625,000,000","4,716,000,000","4,145,000,000","668,000,000","3,425,000,000","5,521,000,000","2,855,000,000","4,922,000,000","5,162,000,000","5,968,000,000","5,136,000,000","4,021,898,000","2,766,422,200","5,054,348,520","3,836,688,240","3,983,840,000","1,834,000,000","3,491,390,790","749,000,000","-87,000,000","-65,000,000","200,000,000","448,000,000","568,000,000","1,963,442,792","478,000,000","319,000,000","63,000,000","9,000,000",,,,,
	OperatingCashFlow,"9,693,000,000","8,020,000,000","8,421,000,000","6,918,000,000","6,497,000,000","2,569,000,000","5,176,000,000","7,222,000,000","4,375,000,000","6,250,000,000","6,797,000,000","7,841,000,000","7,205,000,000","6,166,977,500","4,355,838,940","5,956,890,000","4,701,103,120","4,851,840,000","3,060,000,000","4,609,076,310","1,852,000,000","510,000,000","410,000,000","615,000,000","849,000,000","1,252,000,000","2,449,028,794","1,053,000,000","927,000,000","657,000,000","615,000,000",,,,,
	CapitalExpenditure,"-1,970,000,000","-2,163,000,000","-1,796,000,000","-2,202,000,000","-2,352,000,000","-1,901,000,000","-1,751,000,000","-1,701,000,000","-1,520,000,000","-1,328,000,000","-1,635,000,000","-1,873,000,000","-2,069,000,000","-2,145,079,500","-1,589,416,740","-902,541,480","-864,414,880","-868,000,000","-1,226,000,000","-1,117,685,520","-1,103,000,000","-597,000,000","-475,000,000","-415,000,000","-401,000,000","-684,000,000","-485,586,002","-575,000,000","-608,000,000","-594,000,000","-606,000,000",,,,,
	FreeCashFlow,"7,723,000,000","5,857,000,000","6,625,000,000","4,716,000,000","4,145,000,000","668,000,000","3,425,000,000","5,521,000,000","2,855,000,000","4,922,000,000","5,162,000,000","5,968,000,000","5,136,000,000","4,021,898,000","2,766,422,200","5,054,348,520","3,836,688,240","3,983,840,000","1,834,000,000","3,491,390,790","749,000,000","-87,000,000","-65,000,000","200,000,000","448,000,000","568,000,000","1,963,442,792","478,000,000","319,000,000","63,000,000","9,000,000",,,,,