name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,03/31/2007,03/31/2006,03/31/2005,03/31/2004,03/31/2003,03/31/2002,03/31/2001,03/31/2000,03/31/1999,03/31/1998,03/31/1997,03/31/1996,03/31/1995,03/31/1994,03/31/1993,03/31/1992,03/31/1991,03/31/1990,03/31/1989,03/31/1988,03/31/1987,03/31/1986
TotalRevenue,"11,624,200,000","11,500,500,000","11,433,900,000","11,907,700,000","11,076,900,000","9,429,300,000","7,719,600,000","6,909,143,000","6,796,110,000","6,129,825,000","5,450,522,000","5,092,785,000","5,137,585,000","1,611,819,000","1,257,164,000","1,253,374,000","1,374,617,000","1,269,192,000","1,104,050,000","846,696,000","790,145,000","721,100,000","528,600,000","440,200,000","392,900,000","396,100,000","251,800,000","212,000,000","131,900,000","91,100,000","95,400,000","87,900,000","96,000,000","95,100,000","80,800,000"
CostOfRevenue,"7,625,700,000","7,602,900,000","7,432,300,000","7,124,600,000","6,379,900,000","5,213,200,000","4,191,600,000","3,868,800,000","3,887,806,000","3,566,461,000","3,233,125,000","3,018,313,000","3,067,364,000","768,151,000","629,548,000","629,834,000","612,149,000","597,756,000","480,111,000","422,129,000","326,112,000","309,900,000","266,600,000","242,400,000","184,200,000","156,900,000","114,400,000","84,300,000","64,800,000","52,000,000","55,500,000","49,800,000","43,100,000","39,400,000","33,100,000"
GrossProfit,"3,998,500,000","3,897,600,000","4,001,600,000","4,783,100,000","4,697,000,000","4,216,100,000","3,528,000,000","3,040,343,000","2,908,304,000","2,563,364,000","2,217,397,000","2,074,472,000","2,070,221,000","843,668,000","627,616,000","623,540,000","762,468,000","671,436,000","623,939,000","424,567,000","464,033,000","411,200,000","262,000,000","197,800,000","208,700,000","239,200,000","137,400,000","127,700,000","67,100,000","39,100,000","39,900,000","38,100,000","52,900,000","55,700,000","47,700,000"
OperatingExpense,"3,142,600,000","3,203,500,000","3,145,500,000","3,359,100,000","3,322,900,000","2,852,600,000","2,127,500,000","1,919,452,000","1,802,088,000","1,509,359,000","1,368,755,000","1,325,403,000","1,370,702,000","269,114,000","340,228,000","321,369,000","267,667,000","257,448,000","228,760,000","362,597,000","241,074,000","213,700,000","164,700,000","139,800,000","108,500,000","101,300,000","82,000,000","55,300,000","40,800,000","20,600,000","19,700,000","16,900,000","16,000,000","13,800,000","11,500,000"
	ResearchAndDevelopment,"581,500,000","639,900,000","704,500,000","783,300,000","826,800,000","671,900,000","581,800,000","507,823,000","401,341,000","294,728,000","282,146,000","275,258,000","317,217,000","103,692,000","102,057,000","87,881,000","100,813,000","86,748,000","58,847,000","64,385,000","49,121,000","61,800,000","46,300,000","42,600,000",,,,,,,,,,,
	SellingGeneralAndAdministration,"2,561,100,000","2,563,600,000","2,441,000,000","2,575,800,000","2,496,100,000","2,180,700,000","1,625,700,000","1,411,629,000","1,400,747,000","1,214,631,000","1,086,609,000","1,050,145,000","1,053,485,000","215,538,000","225,754,000","259,478,000","201,612,000","173,070,000","169,913,000","151,212,000","156,247,000","125,000,000","96,700,000","79,900,000","95,000,000","88,600,000","70,800,000","50,200,000","35,700,000","17,700,000","16,700,000","14,800,000","14,200,000","12,600,000","10,600,000"
	OperatingExpense,"3,142,600,000","3,203,500,000","3,145,500,000","3,359,100,000","3,322,900,000","2,852,600,000","2,127,500,000","1,919,452,000","1,802,088,000","1,509,359,000","1,368,755,000","1,325,403,000","1,370,702,000","269,114,000","340,228,000","321,369,000","267,667,000","257,448,000","228,760,000","362,597,000","241,074,000","213,700,000","164,700,000","139,800,000","108,500,000","101,300,000","82,000,000","55,300,000","40,800,000","20,600,000","19,700,000","16,900,000","16,000,000","13,800,000","11,500,000"
OperatingIncome,"855,900,000","694,100,000","856,100,000","1,424,000,000","1,374,100,000","1,363,500,000","1,400,500,000","1,120,891,000","1,106,216,000","1,054,005,000","848,642,000","749,069,000","699,519,000","574,554,000","287,388,000","302,171,000","494,801,000","413,988,000","395,179,000","61,970,000","222,959,000","197,500,000","97,300,000","58,000,000","100,200,000","137,900,000","55,400,000","72,400,000","26,300,000","18,500,000","20,200,000","21,200,000","36,900,000","41,900,000","36,200,000"
InterestExpense,"506,000,000","517,300,000","542,300,000","534,600,000","454,800,000","339,400,000","333,200,000","313,336,000","308,699,000","335,944,000","331,462,000","318,496,000","357,045,000",,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"-50,300,000","-22,400,000","-15,400,000","7,400,000","-809,900,000","-108,700,000","-92,800,000","-60,215,000","6,562,000","-63,425,000","-161,236,000","-203,598,000","-390,297,000","-46,650,000","6,085,000","36,066,000","52,565,000","14,895,000","13,144,000","-108,565,000","19,784,000","-5,200,000","51,100,000","29,200,000","41,600,000","33,400,000","31,700,000","25,000,000","24,200,000","20,500,000","11,900,000","2,500,000","800,000",,"2,200,000"
PretaxIncome,"299,600,000","154,400,000","298,400,000","903,000,000","121,700,000","915,400,000","974,500,000","747,340,000","804,079,000","654,636,000","355,944,000","226,975,000","-47,823,000","425,512,000","274,605,000","312,247,000","512,608,000","426,513,000","408,323,000","58,013,000","242,743,000","192,300,000","148,400,000","87,200,000","141,700,000","171,400,000","87,100,000","97,300,000","50,100,000","38,900,000","32,200,000","23,500,000","37,400,000","41,700,000","38,200,000"
TaxProvision,"237,000,000","137,600,000","-54,100,000","207,000,000","-358,300,000","67,700,000","41,400,000","120,808,000","161,145,000","115,833,000","10,402,000","-20,773,000","137,423,000","208,017,000","90,063,000","108,655,000","177,999,000","154,160,000","148,072,000","20,885,000","88,497,000","76,900,000","47,600,000","24,100,000","39,400,000","50,500,000","14,000,000","26,700,000","10,000,000","6,200,000","6,000,000","5,200,000","12,200,000","18,400,000","17,500,000"
NetIncomeContinuousOperations,"62,600,000","16,800,000","352,500,000","696,000,000","480,000,000","847,700,000","933,100,000","626,532,000","642,934,000","538,803,000","345,542,000","247,748,000","-185,246,000","217,284,000","184,542,000","203,592,000","334,609,000","272,353,000","260,251,000","37,128,000","154,246,000","115,400,000","100,800,000","63,100,000","102,300,000","120,900,000","73,100,000","70,600,000","40,100,000","32,700,000","26,200,000","18,300,000","25,200,000","23,300,000","20,700,000"
NetIncome,"62,600,000","16,800,000","352,500,000","696,000,000","480,000,000","847,600,000","929,400,000","623,711,000","640,850,000","536,810,000","345,115,000","232,571,000","-181,215,000","217,284,000","184,542,000","203,592,000","334,609,000","272,353,000","260,251,000","37,128,000","154,246,000","115,400,000","100,800,000","63,100,000","102,300,000","120,900,000","73,100,000","70,600,000","40,100,000","32,700,000","26,200,000","18,300,000","25,200,000","23,300,000","20,700,000"
NetIncomeCommonStockholders,"62,600,000","16,800,000","352,500,000","696,000,000","480,000,000","847,600,000","929,400,000","623,711,000","640,850,000","536,810,000","223,580,000","93,536,000","-320,250,000","217,284,000","184,542,000","203,592,000","334,609,000","272,353,000","260,251,000","37,128,000","154,246,000","115,400,000","100,800,000","63,100,000","102,300,000","120,900,000","73,100,000","70,600,000","40,100,000","32,700,000","26,200,000","18,300,000","25,200,000","23,300,000","20,700,000"
BasicEPS,,"0.03","0.69","1.3","0.94","1.8","2.49","1.63","1.54","1.25","0.69","0.31","-1.05","1.01","0.8","0.76","1.24","0.98","0.92","0.133","0.529","0.409","0.369","0.231","0.382","0.45","0.276","0.271","0.156","0.129","0.107","0.076","0.102","0.098","0.085"
DilutedEPS,,"0.03","0.68","1.3","0.92","1.7","2.34","1.58","1.52","1.22","0.68","0.3","-1.05","0.99","0.79","0.74","1.21","0.967","0.907","0.129","0.524","0.404","0.364","0.231","0.382","0.45","0.271","0.267","0.156","0.129","0.107","0.076","0.102","0.098","0.085"
BasicAverageShares,,"515,700,000","514,500,000","534,500,000","513,000,000","472,200,000","373,700,000","383,327,000","415,210,000","430,839,000","324,453,000","305,162,000","304,560,000","215,096,000","229,389,000","268,985,000","268,931,000","278,788,500","282,431,250","283,023,000","290,745,000","282,564,000","274,711,500","274,333,500","268,942,500","267,667,875","265,017,348","260,149,899","257,528,370","253,453,007","245,380,386","241,964,274","246,276,533","238,056,316","244,886,370"
DilutedAverageShares,,"516,500,000","516,500,000","536,700,000","520,500,000","497,400,000","398,000,000","394,454,000","420,236,000","438,785,000","328,979,000","306,913,000","304,560,000","219,120,000","234,209,000","273,621,000","276,318,000","282,330,000","286,578,000","285,185,250","293,004,000","286,101,000","276,846,750","277,596,709","268,942,500","269,730,177","269,362,006","264,485,845","257,528,370","253,453,007","245,380,386","241,964,274","246,276,533","238,056,316","244,886,370"
Ebitda,,"2,691,000,000","2,950,600,000","3,243,400,000","2,099,500,000","2,286,900,000","1,874,300,000","1,576,673,000","1,659,382,000","1,501,268,000","1,110,194,000","946,628,000","734,501,000","636,066,000","334,215,000","347,271,000","539,124,000","454,568,000","441,290,000","104,362,000","258,665,000","224,400,000","119,000,000","75,300,000","113,700,000","150,600,000","66,600,000","77,500,000","31,400,000","21,400,000","23,200,000","23,300,000","38,700,000","43,100,000","37,100,000"