name,ttm,05/31/2020,05/31/2019,05/31/2018,05/31/2017,05/31/2016,05/31/2015,05/31/2014,05/31/2013,05/31/2012,05/31/2011,05/31/2010,05/31/2009,05/31/2008,05/31/2007,05/31/2006,05/31/2005,05/31/2004,05/31/2003,05/31/2002,05/31/2001,05/31/2000,05/31/1999,05/31/1998,05/31/1997,05/31/1996,05/31/1995,05/31/1994,05/31/1993,05/31/1992,05/31/1991,05/31/1990,05/31/1989,05/31/1988,05/31/1987,05/31/1986
TotalRevenue,"39,068,000,000","39,068,000,000","39,506,000,000","39,831,000,000","37,728,000,000","37,047,000,000","38,226,000,000","38,275,000,000","37,180,000,000","37,121,000,000","35,622,000,000","26,820,000,000","23,252,000,000","22,430,000,000","17,996,000,000","14,380,000,000","11,799,000,000","10,156,000,000","9,475,000,000","9,673,000,000","10,859,672,000","10,130,128,000","8,827,252,000","7,143,866,000","5,684,336,000","4,223,300,000","2,966,900,000","2,001,100,000","1,502,800,000","1,178,500,000","1,027,900,000","970,800,000","583,700,000","282,100,000","131,300,000","55,400,000"
CostOfRevenue,"7,938,000,000","7,938,000,000","7,995,000,000","8,081,000,000","7,469,000,000","7,479,000,000","7,532,000,000","7,236,000,000","7,113,000,000","7,858,000,000","8,398,000,000","5,764,000,000","4,794,000,000","4,981,000,000","4,191,000,000","3,235,000,000","2,651,000,000","2,317,000,000","2,342,000,000","2,406,000,000","2,796,040,000","2,942,679,000","3,064,148,000","2,273,607,000","1,550,466,000","1,096,013,000","631,200,000","394,600,000","243,500,000","215,800,000","195,700,000","116,300,000","77,800,000","38,300,000","-5,300,000","-2,000,000"
GrossProfit,"31,130,000,000","31,130,000,000","31,511,000,000","31,750,000,000","30,259,000,000","29,568,000,000","30,694,000,000","31,039,000,000","30,067,000,000","29,263,000,000","27,224,000,000","21,056,000,000","18,458,000,000","17,449,000,000","13,805,000,000","11,145,000,000","9,148,000,000","7,839,000,000","7,133,000,000","7,267,000,000","8,063,632,000","7,187,449,000","5,763,104,000","4,870,259,000","4,133,870,000","3,127,287,000","2,335,700,000","1,606,500,000","1,259,300,000","962,700,000","832,200,000","854,500,000","505,900,000","243,800,000","136,600,000","57,400,000"
OperatingExpense,"16,928,000,000","16,928,000,000","17,489,000,000","17,431,000,000","16,983,000,000","16,464,000,000","16,405,000,000","16,056,000,000","15,635,000,000","15,206,000,000","14,496,000,000","11,218,000,000","9,903,000,000","9,440,000,000","7,672,000,000","6,187,000,000","4,771,000,000","3,975,000,000","3,693,000,000","3,696,000,000","4,286,541,000","4,107,289,000","3,890,223,000","3,459,005,000","2,834,085,000","2,171,465,000","1,685,900,000","1,186,600,000","1,018,300,000","849,000,000","814,300,000","664,700,000","382,900,000","180,000,000","108,200,000","46,500,000"
	ResearchAndDevelopment,"6,067,000,000","6,067,000,000","6,026,000,000","6,091,000,000","6,159,000,000","5,787,000,000","5,524,000,000","5,151,000,000","4,850,000,000","4,523,000,000","4,519,000,000","3,254,000,000","2,767,000,000","2,741,000,000","2,195,000,000","1,872,000,000","1,491,000,000","1,278,000,000","1,180,000,000","1,076,000,000","1,138,591,000","1,009,882,000","841,406,000","719,143,000","555,476,000","389,093,000","260,600,000","197,100,000",,,,,,,,
	SellingGeneralAndAdministration,"9,275,000,000","9,275,000,000","9,774,000,000","9,720,000,000","9,373,000,000","9,039,000,000","8,732,000,000","8,605,000,000","8,400,000,000","8,253,000,000","7,549,000,000","5,991,000,000","5,423,000,000","5,487,000,000","4,599,000,000","3,732,000,000","3,061,000,000","2,697,000,000","2,513,000,000","2,620,000,000","3,147,950,000","3,097,407,000","3,048,817,000","2,739,862,000","2,278,609,000","1,782,372,000","1,277,500,000","884,900,000","939,100,000","783,200,000","743,600,000","620,600,000","359,700,000","167,000,000","102,900,000","44,500,000"
	OperatingExpense,"16,928,000,000","16,928,000,000","17,489,000,000","17,431,000,000","16,983,000,000","16,464,000,000","16,405,000,000","16,056,000,000","15,635,000,000","15,206,000,000","14,496,000,000","11,218,000,000","9,903,000,000","9,440,000,000","7,672,000,000","6,187,000,000","4,771,000,000","3,975,000,000","3,693,000,000","3,696,000,000","4,286,541,000","4,107,289,000","3,890,223,000","3,459,005,000","2,834,085,000","2,171,465,000","1,685,900,000","1,186,600,000","1,018,300,000","849,000,000","814,300,000","664,700,000","382,900,000","180,000,000","108,200,000","46,500,000"
OperatingIncome,"14,202,000,000","14,202,000,000","14,022,000,000","14,319,000,000","13,276,000,000","13,104,000,000","14,289,000,000","14,983,000,000","14,432,000,000","14,057,000,000","12,728,000,000","9,838,000,000","8,555,000,000","8,009,000,000","6,133,000,000","4,958,000,000","4,377,000,000","3,864,000,000","3,440,000,000","3,571,000,000","3,777,091,000","3,080,160,000","1,872,881,000","1,411,254,000","1,299,785,000","955,822,000","649,800,000","419,900,000","241,000,000","113,700,000","17,900,000","189,800,000","123,000,000","63,800,000","28,400,000","10,900,000"
InterestExpense,"1,995,000,000","1,995,000,000","2,082,000,000","2,025,000,000","1,798,000,000","1,467,000,000","1,143,000,000","914,000,000","797,000,000","766,000,000","808,000,000","754,000,000","630,000,000",,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"-671,000,000","-671,000,000","-764,000,000","-604,000,000","-763,000,000","-733,000,000","-661,000,000","-628,000,000","26,000,000","-560,000,000","-672,000,000","-841,000,000","-91,000,000","-58,000,000","-99,000,000","-149,000,000","-376,000,000","-16,000,000","-128,000,000","-309,000,000","-71,345,000","6,920,264,000","12,135,000","-152,763,000","-56,833,000","-59,915,000","16,200,000","10,300,000","-14,000,000","1,100,000","-31,100,000","-5,000,000","1,600,000","2,600,000","600,000","100,000"
PretaxIncome,"12,063,000,000","12,063,000,000","12,268,000,000","12,891,000,000","11,517,000,000","11,442,000,000","12,834,000,000","13,704,000,000","13,898,000,000","12,962,000,000","11,411,000,000","8,243,000,000","7,834,000,000","7,834,000,000","5,986,000,000","4,810,000,000","4,051,000,000","3,945,000,000","3,425,000,000","3,408,000,000","3,971,230,000","10,123,434,000","1,982,078,000","1,327,819,000","1,283,527,000","919,510,000","659,000,000","423,400,000","218,000,000","96,100,000","-13,200,000","172,700,000","120,300,000","65,000,000","27,900,000","10,500,000"
TaxProvision,"1,928,000,000","1,928,000,000","1,185,000,000","9,066,000,000","2,182,000,000","2,541,000,000","2,896,000,000","2,749,000,000","2,973,000,000","2,981,000,000","2,864,000,000","2,108,000,000","2,241,000,000","2,313,000,000","1,712,000,000","1,429,000,000","1,165,000,000","1,264,000,000","1,118,000,000","1,184,000,000","1,410,134,000","3,826,631,000","692,320,000","514,124,000","462,070,000","316,231,000","217,500,000","139,700,000","76,300,000","34,600,000","-800,000","55,300,000","38,500,000","22,100,000","12,300,000","4,600,000"
NetIncomeContinuousOperations,"10,135,000,000","10,135,000,000","11,083,000,000","3,825,000,000","9,335,000,000","8,901,000,000","9,938,000,000","10,955,000,000","10,925,000,000","9,981,000,000","8,547,000,000","6,135,000,000","5,593,000,000","5,521,000,000","4,274,000,000","3,381,000,000","2,886,000,000","2,681,000,000","2,307,000,000","2,224,000,000","2,561,096,000","6,296,803,000","1,289,758,000","813,695,000","821,457,000","603,279,000","441,500,000","283,700,000","141,700,000","61,500,000","-12,400,000","117,400,000","81,800,000","42,900,000","15,600,000","5,900,000"
NetIncome,"10,135,000,000","10,135,000,000","11,083,000,000","3,825,000,000","9,335,000,000","8,901,000,000","9,938,000,000","10,955,000,000","10,925,000,000","9,981,000,000","8,547,000,000","6,135,000,000","5,593,000,000","5,521,000,000","4,274,000,000","3,381,000,000","2,886,000,000","2,681,000,000","2,307,000,000","2,224,000,000","2,561,096,000","6,296,803,000","1,289,758,000","813,695,000","821,457,000","603,279,000","441,500,000","283,700,000","98,200,000","61,500,000","-12,400,000","117,400,000","81,800,000","42,900,000","15,600,000","5,900,000"
NetIncomeCommonStockholders,"10,135,000,000","10,135,000,000","11,083,000,000","3,825,000,000","9,335,000,000","8,901,000,000","9,938,000,000","10,955,000,000","10,925,000,000","9,981,000,000","8,547,000,000","6,135,000,000","5,593,000,000","5,521,000,000","4,274,000,000","3,381,000,000","2,886,000,000","2,681,000,000","2,307,000,000","2,224,000,000","2,561,096,000","6,296,803,000","1,289,758,000","813,695,000","821,457,000","603,279,000","441,500,000","283,700,000","98,200,000","61,500,000","-12,400,000","117,400,000","81,800,000","42,900,000","15,600,000","5,900,000"
BasicEPS,,,"3.05","0.93","2.27","2.11","2.26","2.42","2.29","1.99","1.69","1.22","1.1","1.08","0.83","0.65","0.56","0.51","0.44","0.4","0.46","1.11","0.223","0.138","0.136","0.1","0.074","0.047","0.02","0.02","-0.01","0.03","0.02","0.01","0.01","0.01"
DilutedEPS,,,"2.97","0.9","2.21","2.07","2.21","2.38","2.26","1.96","1.67","1.21","1.09","1.06","0.81","0.64","0.55","0.5","0.43","0.39","0.44","1.05","0.218","0.135","0.136","0.1","0.074","0.047","0.02","0.02","-0.01","0.03","0.02","0.01","0.01","0.01"
BasicAverageShares,,,"3,634,000,000","4,121,000,000","4,115,000,000","4,221,000,000","4,404,000,000","4,528,000,000","4,769,000,000","5,015,000,000","5,048,000,000","5,014,000,000","5,070,000,000","5,133,000,000","5,170,000,000","5,196,000,000","5,136,000,000","5,215,000,000","5,302,000,000","5,518,000,000","5,596,721,000","5,678,838,000","5,782,352,000","5,865,594,000","6,055,767,000","6,035,922,000","5,988,586,500","5,988,613,500","4,910,000,000","5,654,508,000","5,509,008,000","3,913,333,333","4,090,000,000","4,290,000,000","4,654,664,000","4,264,700,000"
DilutedAverageShares,,,"3,732,000,000","4,238,000,000","4,217,000,000","4,305,000,000","4,503,000,000","4,604,000,000","4,844,000,000","5,095,000,000","5,128,000,000","5,073,000,000","5,130,000,000","5,229,000,000","5,269,000,000","5,287,000,000","5,231,000,000","5,326,000,000","5,418,000,000","5,689,000,000","5,864,806,000","5,995,842,000","5,936,900,000","5,998,350,000","6,130,136,000","6,384,014,000","5,988,586,500","5,988,613,500","4,910,000,000","5,654,508,000","5,509,008,000","3,913,333,333","4,090,000,000","4,290,000,000","4,654,664,000","4,264,700,000"
Ebitda,,"17,026,000,000","17,269,000,000","17,701,000,000","15,766,000,000","15,418,000,000","16,838,000,000","17,526,000,000","17,626,000,000","16,644,000,000","15,015,000,000","11,268,000,000","10,440,000,000","9,489,000,000","7,260,000,000","5,813,000,000","4,802,000,000","4,098,000,000","3,767,000,000","3,934,000,000","4,123,987,000","3,471,085,000","2,248,265,000","1,739,817,000","1,564,558,000","1,175,316,000","797,600,000","524,500,000","320,200,000","179,500,000","88,600,000","233,900,000","146,200,000","76,800,000","33,700,000","12,900,000"